ID,Name,Epoch,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class,ID2,Name2
433,Eros,57400,1.45787775,0.222678659,10.8286023,178.7980368,304.3298182,95.3611480,1.1332,1.78,1.76,11.16,0.148887,469,AMO,433,Eros
719,Albert,57400,2.63325325,0.550874298,11.5645660,156.0191400,183.9733893,132.6314917,1.1827,4.08,4.27,15.50,0.188608,77,AMO,719,Albert
887,Alinda,57400,2.47876036,0.567217217,9.3574816,350.3461557,110.5523076,250.3636264,1.0728,3.88,3.90,13.40,0.091819,140,AMO,887,Alinda
1036,Ganymed,57400,2.66327605,0.533951412,26.6923834,132.4790085,215.5554527,1.8201299,1.2412,4.09,4.35,9.45,0.340296,569,AMO,1036,Ganymed
1221,Amor,57400,1.91938651,0.435455164,11.8796043,26.6361511,171.3459516,165.4893313,1.0836,2.76,2.66,17.70,0.106983,60,AMO,1221,Amor
1566,Icarus,57400,1.07806302,0.826894244,22.8282663,31.3785739,88.0166238,223.3210681,0.1866,1.97,1.12,16.90,0.034111,98,APO,1566,Icarus
1580,Betulia,57400,2.19724545,0.487492272,52.0815389,159.4701717,62.3023803,70.8917963,1.1261,3.27,3.26,14.80,0.135068,185,AMO,1580,Betulia
1620,Geographos,57400,1.24534335,0.335414727,13.3376933,276.8786706,337.2164073,180.4727123,0.8276,1.66,1.39,15.60,0.029311,447,APO,1620,Geographos
1627,Ivar,57400,1.86292629,0.396501729,8.4511265,167.7895119,133.1478468,356.3862361,1.1243,2.60,2.54,13.20,0.110404,595,AMO,1627,Ivar
1685,Toro,57400,1.36736341,0.435903423,9.3806217,127.1102266,274.3013857,24.1897925,0.7713,1.96,1.60,14.23,0.050590,328,APO,1685,Toro
1862,Apollo,55194,1.47024074,0.559939712,6.3529548,285.8483152,35.7391182,144.2236102,0.6470,2.29,1.78,16.25,0.025703,257,APO,1862,Apollo
1863,Antinous,57400,2.25989986,0.606260170,18.4001276,267.9856655,346.4899306,325.4564363,0.8898,3.63,3.40,15.54,0.183081,115,APO,1863,Antinous
1864,Daedalus,57400,1.46071953,0.614740280,22.2123947,325.6239588,6.6430623,48.1766011,0.5628,2.36,1.77,14.85,0.268740,351,APO,1864,Daedalus
1865,Cerberus,57400,1.08002428,0.466970474,16.0945166,325.2373739,212.9325266,38.3411866,0.5757,1.58,1.12,16.84,0.156199,116,APO,1865,Cerberus
1866,Sisyphus,57400,1.89370799,0.538452797,41.1926401,293.0845329,63.5083298,218.9545926,0.8740,2.91,2.61,12.40,0.103004,407,APO,1866,Sisyphus
1915,Quetzalcoatl,57400,2.54488359,0.570553384,20.4035434,347.8563187,162.9552329,226.8477222,1.0929,4.00,4.06,18.97,0.108757,10,AMO,1915,Quetzalcoatl
1916,Boreas,57400,2.27171755,0.450211256,12.8887817,335.8767431,340.6394005,79.3575851,1.2490,3.29,3.42,14.93,0.248946,156,AMO,1916,Boreas
1917,Cuyo,57400,2.15127445,0.504214218,23.9437040,194.4627950,188.3165698,114.2562460,1.0666,3.24,3.16,13.90,0.074769,306,AMO,1917,Cuyo
1943,Anteros,57400,1.43050623,0.255965751,8.7052734,338.3382674,246.3398218,346.5523121,1.0643,1.80,1.71,15.75,0.061569,362,AMO,1943,Anteros
1980,Tezcatlipoca,57400,1.70946358,0.364874668,26.8599314,115.3909443,246.6153759,64.1148286,1.0857,2.33,2.24,13.92,0.244782,324,AMO,1980,Tezcatlipoca
1981,Midas,57400,1.77613306,0.650010372,39.8331009,267.7986788,356.9052449,6.6291196,0.6216,2.93,2.37,15.20,0.003819,118,APO,1981,Midas
2059,Baboquivari,57400,2.64686637,0.529240099,11.0308406,191.2772869,200.9885552,40.3391973,1.2460,4.05,4.31,16.00,0.252182,104,AMO,2059,Baboquivari
2061,Anza,57400,2.26539282,0.536912164,3.7734008,156.5216447,207.6030065,78.9110638,1.0491,3.48,3.41,16.56,0.052615,65,AMO,2061,Anza
2062,Aten,55926,0.96678983,0.182717134,18.9336868,148.0354056,108.6003764,172.2677628,0.7901,1.14,0.95,16.80,0.113146,148,ATE,2062,Aten
2063,Bacchus,57400,1.07795677,0.349328348,9.4328212,55.3189605,33.1048657,304.7338918,0.7014,1.45,1.12,17.30,0.067121,112,APO,2063,Bacchus
2100,Ra-Shalom,53109,0.83202333,0.436541801,15.7561955,355.9791850,170.8883729,81.7494709,0.4688,1.20,0.76,16.05,0.149281,151,ATE,2100,Ra-Shalom
2101,Adonis,57400,1.87494410,0.763827825,1.3303823,43.2418225,349.8422902,81.5927516,0.4428,3.31,2.57,18.80,0.011780,33,APO,2101,Adonis
2102,Tantalus,57400,1.29005178,0.299148816,64.0053593,61.5550993,94.3699394,85.7864300,0.9041,1.68,1.47,16.00,0.043091,102,APO,2102,Tantalus
2135,Aristaeus,57400,1.59947281,0.503054074,23.0614491,290.8742523,191.2211182,83.4440342,0.7949,2.40,2.02,17.94,0.009728,16,APO,2135,Aristaeus
2201,Oljato,57400,2.17467194,0.713124845,2.5224118,98.2284334,75.0099177,71.3793838,0.6239,3.73,3.21,15.25,0.003239,175,APO,2201,Oljato
2202,Pele,57400,2.29042689,0.512465234,8.7451330,217.9283939,169.9844261,165.8585129,1.1167,3.46,3.47,17.20,0.143260,34,AMO,2202,Pele
2212,Hephaistos,57400,2.15904697,0.837576182,11.5582329,209.3347493,27.5690390,272.0812839,0.3507,3.97,3.17,13.87,0.116104,376,APO,2212,Hephaistos
2329,Orthos,57400,2.40880949,0.654955079,24.4666899,146.0297575,169.3218537,202.9245611,0.8311,3.99,3.74,14.60,0.097924,120,APO,2329,Orthos
2340,Hathor,53228,0.84382925,0.449884166,5.8545912,39.9262942,211.5421371,42.1044329,0.4642,1.22,0.78,20.20,0.006874,60,ATE,2340,Hathor
2368,Beltrovata,57400,2.10639552,0.413053997,5.2249400,42.8719178,287.4475712,206.2388656,1.2363,2.98,3.06,15.21,0.232584,178,AMO,2368,Beltrovata
2608,Seneca,57400,2.51606353,0.571350508,14.6821235,37.3151644,167.3732548,204.9371196,1.0785,3.95,3.99,17.52,0.131350,14,AMO,2608,Seneca
